Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
Christian Bethancourt,MIL,AAA,26-26,418,0.047846889,0.181818181,0.263157894,0.296675191,0.327751196,0.506393861,0.834145057,0.20971867,3.856732346,0.318936877,0.664622752,61.60062557,7.035242585,0.358491651,112.8932341,10028
Tomas Telis,MIA,AAA,27-28,633,0.056872037,0.099526066,0.571428571,0.319727891,0.360759493,0.445578231,0.806337724,0.12585034,3.715513282,0.340425531,-0.261359737,90.12303996,5.657395425,0.349853695,106.4679145,10067
Nick Franklin,MIL,"A+,AA,AAA,R",27-28,416,0.125,0.185096153,0.675324675,0.257062146,0.351807228,0.423728813,0.775536041,0.166666667,5.337587201,0.296703296,-0.062833376,56.8804207,0.111199441,0.342564493,101.2499866,10166
Francisco Arcia,LAA,"AA,AAA",28-29,432,0.050925925,0.162037037,0.314285714,0.232736572,0.287058823,0.301790281,0.588849104,0.069053709,3.268657206,0.271875,-1.108097349,29.44942505,-29.67038439,0.267188363,52.29042699,10286
Danny Ortiz,PHI,AAA,28-28,418,0.045454545,0.241626794,0.188118811,0.232142857,0.270334928,0.397959183,0.668294111,0.165816326,1.629498307,0.271428571,-0.482534559,39.40576447,-7.674912499,0.295147791,83.69838118,10317
Danny Santana,ATL,AAA,27-28,382,0.049738219,0.235602094,0.211111111,0.271708683,0.307894736,0.498599439,0.806494175,0.226890756,7.213222834,0.318897637,0.046902632,53.42915647,8.910830958,0.351008186,119.5161025,10322
Rafael Ortega,MIA,AAA,27-28,821,0.12545676,0.153471376,0.817460317,0.281293952,0.374083129,0.476793248,0.850876377,0.195499296,7.201336963,0.314387211,1.521380306,131.8399286,21.90172424,0.370165735,119.7314563,10323
Tommy Joseph,TEX,"AA,AAA,R",26-27,450,0.071111111,0.22,0.323232323,0.281094527,0.344444444,0.51243781,0.856882254,0.231343283,1.39793844,0.31707317,-0.081083283,71.01522531,13.82738816,0.370371124,123.2806949,10349
Wilfredo Tovar,STL,AAA,26-27,738,0.058265582,0.117886178,0.494252873,0.308588064,0.348238482,0.414847161,0.763085643,0.106259097,4.907367311,0.3400335,-2.619228578,96.79880486,-6.311498901,0.335634816,93.80046531,10416
Rocky Gale,LAD,"AA,AAA",30-31,505,0.041584158,0.168316831,0.247058823,0.278131634,0.307228915,0.371549893,0.678778808,0.093418259,2.847424479,0.324675324,-0.528534086,49.67114565,-18.55539711,0.299819907,72.96126032,10533
Bryce Brentz,NYM,"AAA,R",29-30,576,0.100694444,0.331597222,0.303664921,0.234251968,0.319444444,0.5,0.819444444,0.265748032,2.281235577,0.297202797,-0.673077343,81.69204436,4.526730024,0.349621025,106.2879853,10607
David Freitas,SEA,AAA,29-30,551,0.11615245,0.148820326,0.780487804,0.371308016,0.450729927,0.550632911,1.001362838,0.179324895,1.642169601,0.422163588,-0.44323167,121.9679898,42.58933688,0.431633277,153.6438262,10619
Carlos Perez,TEX,"AA,AAA",27-28,515,0.058252427,0.141747572,0.410958904,0.255863539,0.307392996,0.441364605,0.748757601,0.185501066,0.912087909,0.261096605,-0.040042934,64.62517917,6.015183209,0.332960537,111.1362477,10642
Rob Brantly,ATL,AAA,28-29,518,0.077220077,0.15057915,0.512820512,0.262365591,0.332046332,0.374193548,0.70623988,0.111827957,2.053571421,0.298429319,0.063327461,59.44493146,-5.295303687,0.31380426,88.2774696,10655
Ryan LaMarre,CHW,AAA,29-30,559,0.084078711,0.262969588,0.319727891,0.303212851,0.372759856,0.461847389,0.834607245,0.158634538,6.73160685,0.411594202,0.293072621,87.1407917,13.47924389,0.364026195,117.9199066,10700
Arismendy Alcantara,NYM,"AA,AAA",27-27,451,0.09534368,0.246119733,0.387387387,0.286069651,0.354120267,0.480099502,0.834219769,0.194029851,7.88920847,0.358422939,2.988868999,68.67678374,10.40403572,0.360035924,117.9363167,10711
Lane Adams,ATL,"AA,AAA",28-29,549,0.096539162,0.342440801,0.281914893,0.208247422,0.295081967,0.350515463,0.64559743,0.142268041,6.497488067,0.309027777,1.353561,50.92382181,-19.76557228,0.288858631,69.39889979,10767
Tyler Saladino,MIL,"A,AAA",28-29,475,0.136842105,0.204210526,0.670103092,0.272952853,0.376842105,0.503722084,0.880564189,0.230769231,7.084914826,0.311418685,3.106898577,80.97843758,13.12525984,0.37602658,118.3560047,10807
Rangel Ravelo,STL,AAA,26-27,780,0.101282051,0.141025641,0.718181818,0.303964757,0.387676508,0.480176211,0.867852719,0.176211454,2.429900446,0.331511839,-0.980762533,132.6190336,23.40512064,0.379597353,122.1979138,10839
Adam Duvall,ATL,AAA,30-30,429,0.111888111,0.2004662,0.558139534,0.265582655,0.363636363,0.601626016,0.965262379,0.336043361,4.672744323,0.260869565,0.334744696,79.96767137,21.5598445,0.397073167,136.9125949,10950
Phil Gosselin,CIN,AAA,29-30,678,0.109144542,0.182890855,0.596774193,0.284013605,0.362962962,0.44047619,0.803439152,0.156462585,4.161254357,0.334782608,-1.071588577,99.20893882,14.54262976,0.353992415,115.5654844,10953
Christian Colon,NYM,AAA,29-30,950,0.102105263,0.101052631,1.010416666,0.295343137,0.374468085,0.433823529,0.808291614,0.138480392,4.707752786,0.313807531,-1.1016438,141.8697173,15.57753341,0.357302825,111.8389544,11145
Cameron Rupp,TEX,AAA,29-30,549,0.116575591,0.306010928,0.38095238,0.224101479,0.322404371,0.43128964,0.753694011,0.207188161,1.26785714,0.284210526,-0.017675973,68.63863144,-4.748780806,0.329374286,93.01185619,11146
Elliot Soto,COL,AAA,28-29,731,0.094391244,0.180574555,0.522727272,0.297839506,0.367768595,0.444444444,0.812213039,0.146604938,6.173655956,0.35756385,-1.01289916,109.7746867,5.365976275,0.35471664,104.5871238,11155
Brett Nicholas,SDP,"AA,AAA",29-30,470,0.078723404,0.191489361,0.411111111,0.284037558,0.344680851,0.474178403,0.818859254,0.190140845,2.795582903,0.325077399,-0.351374298,69.6832045,8.611263403,0.358746752,113.3489141,11192
Mike Freeman,CHC,"AAA,R",30-31,378,0.089947089,0.208994708,0.430379746,0.270588235,0.339522546,0.411764705,0.751287251,0.14117647,4.84642203,0.328063241,-1.394560117,48.44935683,-1.077381796,0.335252196,97.61161204,11241
Andy Wilkins,MIN,"A+,AA,AAA,R",29-30,453,0.121412803,0.306843267,0.395683453,0.18877551,0.291390728,0.385204081,0.676594809,0.196428571,2.785722859,0.225531914,0.172350969,48.53807127,-2.304644334,0.310314711,94.86495345,11251
Adrian Sanchez,WSN,"AA,AAA,R",27-28,593,0.060708263,0.138279932,0.43902439,0.279629629,0.327118644,0.422222222,0.749340866,0.142592593,5.714179284,0.307692307,0.260005066,73.45815412,7.719784565,0.33324667,111.804288,11338
Drew Maggi,CLE,"AA,AAA",29-30,776,0.109536082,0.208762886,0.524691358,0.262518968,0.364583333,0.385432473,0.750015806,0.122913505,5.739360079,0.330595482,0.523051719,104.0016339,5.595704691,0.340179397,105.2370226,11381
Ronald Torreyes,NYY,"A+,AAA",25-26,460,0.041304347,0.1,0.413043478,0.254672897,0.289760348,0.369158878,0.658919226,0.114485981,3.621318618,0.259259259,-0.012332952,41.22694437,-18.32105616,0.287530356,68.82787501,11400
Dixon Machado,DET,AAA,26-27,564,0.127659574,0.189716312,0.672897196,0.25,0.356115107,0.418067226,0.774182333,0.168067226,2.995027628,0.286931818,-0.995252608,77.61750938,-0.570873739,0.339208874,97.55871581,11472
Henry Ramos,LAD,AAA,26-27,759,0.072463768,0.188405797,0.384615384,0.283236994,0.335989375,0.452312138,0.788301513,0.169075144,4.320024368,0.327683615,-0.675791134,101.7756674,-4.405846053,0.340295108,96.96458874,11481
Kaleb Cowart,LAA,"AA,AAA",26-27,638,0.070532915,0.184952978,0.381355932,0.280821917,0.331240188,0.44349315,0.774733338,0.162671233,5.472506837,0.326039387,-0.3405925,83.5468278,-5.044153575,0.334852741,93.95376675,11494
Andrew Romine,PHI,AAA,33-33,417,0.064748201,0.160671462,0.402985074,0.289473684,0.342168674,0.407894736,0.75006341,0.118421052,6.558848012,0.331168831,2.467864865,52.64924399,-4.124797512,0.329609361,92.7347122,1159
Jarrett Parker,LAA,AAA,30-30,424,0.16981132,0.29481132,0.576,0.265895953,0.393867924,0.53468208,0.928550004,0.268786127,3.3801886,0.34,-0.016418931,77.89798493,14.32160575,0.38764222,122.5266143,11624
Drew Robinson,TEX,"AA,AAA",26-27,484,0.132231404,0.330578512,0.4,0.281862745,0.379166666,0.5,0.879166666,0.218137255,6.48515969,0.415254237,-1.088654764,81.26136198,13.61811674,0.378456966,121.5502691,11761
Mason Williams,CIN,AAA,26-27,850,0.088235294,0.168235294,0.524475524,0.296052631,0.358333333,0.452631578,0.810964911,0.156578947,4.051959195,0.336683417,-4.57315984,124.5625196,17.20760328,0.355449191,115.9444495,11859
Ronny Rodriguez,DET,AAA,26-27,456,0.035087719,0.192982456,0.181818181,0.331018518,0.356043956,0.569444444,0.9254884,0.238425926,6.83653804,0.375,-0.175811284,80.82977164,25.21271276,0.395956694,146.652787,11875
Noel Cuevas,COL,AAA,26-27,410,0.097560975,0.168292682,0.579710144,0.301369863,0.371638141,0.48219178,0.853829921,0.180821917,5.161222866,0.347222222,-2.630130162,66.15137288,8.108915892,0.370287227,115.5311171,11894
Hanser Alberto,TEX,AAA,25-25,384,0.0234375,0.072916666,0.321428571,0.329639889,0.345646437,0.451523545,0.797169982,0.121883656,3.203329541,0.337349397,-1.452897044,53.25688821,3.129837814,0.348304318,106.2438101,11902
Orlando Calixte,SFG,AAA,26-27,541,0.072088724,0.22181146,0.325,0.271629778,0.323475046,0.396378269,0.719853315,0.124748491,5.733247995,0.331521739,1.832241799,62.06031814,-10.57951574,0.31956397,85.88861439,11905
